record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.accumulated_power[watts],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.power[watts],record.cycle_length16[m],record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.left_right_balance,record.left_torque_effectiveness[percent],record.right_torque_effectiveness[percent],record.left_pedal_smoothness[percent],record.right_pedal_smoothness[percent],record.fractional_cadence[rpm],record.left_pco[mm],record.right_pco[mm],record.left_power_phase[degrees],record.left_power_phase_peak[degrees],record.right_power_phase[degrees],record.right_power_phase_peak[degrees],record.unknown,
"1074767584","546230856","58078133","4.93","39","4.591","175.60000000000002","39","0.0","90","47","28","174","62.0","61.5","19.0","19.5","0.0","0","0","354.3750055371095|185.62500290039068","52.0312508129883|112.50000175781253","1.4062500219726566|195.46875305419925","66.09375103271486|130.78125204345707","90",,,
"1074767585","546230833","58077568","8.59","65","4.693","175.60000000000002","26","0.0","89","48","28","190","47.5","64.5","14.5","18.0","0.0","0","0","354.3750055371095|185.62500290039068","50.62500079101564|111.09375173583987","1.4062500219726566|195.46875305419925","66.09375103271486|130.78125204345707","89",,,
"1074767586","546230774","58076712","14.19","65","4.703","175.60000000000002","0","0.0","89","48","28","163","48.0","67.0","14.0","21.5","0.0","0","0","354.3750055371095|185.62500290039068","50.62500079101564|111.09375173583987","0.0|194.0625030322266","60.46875094482424|125.15625195556643","89",,,
"1074767587","546230772","58076127","17.99","65","4.703","175.60000000000002","0","0.0","88","48","28","163","48.0","67.0","14.0","21.5","0.0","0","0","354.3750055371095|185.62500290039068","50.62500079101564|111.09375173583987","0.0|194.0625030322266","60.46875094482424|125.15625195556643","88",,,
"1074767588","546230738","58075437","22.49","65","4.703","175.60000000000002","0","0.0","88","0","28","163","48.0","67.0","14.0","21.5","0.0","0","0","354.3750055371095|185.62500290039068","50.62500079101564|111.09375173583987","0.0|194.0625030322266","60.46875094482424|125.15625195556643","88",,,
"1074767589","546230697","58074747","27.0","89","4.703","175.60000000000002","6","0.0","87","15","28","163","48.0","67.0","14.0","21.5","0.0","0","0","354.3750055371095|185.62500290039068","50.62500079101564|111.09375173583987","0.0|194.0625030322266","60.46875094482424|125.15625195556643","87",,,
"1074767590","546230616","58073999","31.93","255","4.703","175.39999999999998","166","0.0","88","52","28","128","48.0","67.0","14.0","21.5","0.0","0","0","0.0|357.1875055810548","0.0|357.1875055810548","0.0|194.0625030322266","60.46875094482424|125.15625195556643","88",,,
"1074767591","546230596","58073203","37.09","255","4.749","175.39999999999998","136","0.0","88","52","28","182","87.0","0.0","26.5","0.0","0.0","0","0","352.9687555151368|187.03125292236334","49.218750769042984|108.28125169189455","357.1875055810548|194.0625030322266","56.25000087890626|118.12500184570315","88",,,
"1074767592","546230518","58072390","42.44","527","4.787","175.20000000000005","136","0.0","89","55","28","182","87.0","0.0","26.5","0.0","0.0","0","0","347.3437554272462|188.437502944336","42.1875006591797|104.0625016259766","357.1875055810548|194.0625030322266","56.25000087890626|118.12500184570315","89",,,
"1074767593","546230392","58071575","47.85","750","4.861","175.20000000000005","223","0.0","90","57","28","182","83.5","93.5","27.5","30.0","0.0","0","0","347.3437554272462|188.437502944336","42.1875006591797|104.0625016259766","345.9375054052735|209.53125327392584","45.00000070312501|106.8750016699219","90",,,
"1074767594","546230284","58070688","53.72","963","5.421","174.39999999999998","213","0.0","91","61","28","184","85.5","94.0","23.5","30.0","0.0","0","0","338.90625529541023|192.65625301025395","35.15625054931642|97.0312515161133","345.9375054052735|209.53125327392584","45.00000070312501|106.8750016699219","91",,,
"1074767595","546230200","58069773","59.73","1170","5.841","174.0","207","0.0","92","64","28","176","92.5","91.5","27.5","27.5","0.0","0","0","338.90625529541023|192.65625301025395","35.15625054931642|97.0312515161133","345.9375054052735|209.53125327392584","45.00000070312501|106.8750016699219","92",,,
"1074767596","546230120","58068803","66.1","1348","6.214","173.79999999999995","178","0.0","93","65","28","176","87.5","93.5","26.5","30.5","0.0","0","0","340.3125053173829|208.1250032519532","42.1875006591797|105.46875164794925","343.1250053613282|222.18750347167975","46.40625072509767|109.68750171386722","93",,,
"1074767597","546230031","58067794","72.72","1520","6.41","173.60000000000002","172","0.0","94","66","28","178","84.5","91.0","24.5","29.5","0.0","0","0","343.1250053613282|210.9375032958985","47.812500747070324|109.68750171386722","343.1250053613282|225.00000351562505","45.00000070312501|109.68750171386722","94",,,
"1074767598","546229953","58066797","79.26","1664","6.503","173.60000000000002","144","0.0","95","67","28","177","81.0","91.0","22.5","29.5","0.0","0","0","343.1250053613282|208.1250032519532","52.0312508129883|112.50000175781253","347.3437554272462|222.18750347167975","47.812500747070324|111.09375173583987","95",,,
"1074767599","546229887","58065771","85.97","1728","6.503","173.39999999999998","64","0.0","96","63","28","194","51.0","81.5","17.0","23.5","0.0","0","0","343.1250053613282|208.1250032519532","52.0312508129883|112.50000175781253","350.1562554711915|216.5625033837891","49.218750769042984|112.50000175781253","96",,,
"1074767600","546229776","58064765","92.61","1828","6.214","173.60000000000002","100","0.0","97","57","28","194","51.0","81.5","17.0","23.5","0.0","0","0","343.1250053613282|203.9062531860352","52.0312508129883|112.50000175781253","350.1562554711915|216.5625033837891","49.218750769042984|112.50000175781253","97",,,
"1074767601","546229692","58063810","98.88","1883","6.214","173.60000000000002","55","0.0","97","56","28","173","76.5","74.0","22.5","23.5","0.0","0","0","345.9375054052735|201.0937531420899","53.43750083496095|113.90625177978518","350.1562554711915|216.5625033837891","49.218750769042984|112.50000175781253","97",,,
"1074767602","546229590","58062881","105.01","1975","6.214","173.79999999999995","92","0.0","98","55","28","182","65.5","50.0","18.5","16.5","0.0","0","0","345.9375054052735|201.0937531420899","53.43750083496095|113.90625177978518","354.3750055371095|203.9062531860352","47.812500747070324|109.68750171386722","98",,,
"1074767603","546229482","58061948","111.16","2044","6.41","173.79999999999995","69","0.0","99","55","28","182","65.5","50.0","18.5","16.5","0.0","0","0","345.9375054052735|201.0937531420899","53.43750083496095|113.90625177978518","0.0|357.1875055810548","0.0|357.1875055810548","99",,,
"1074767604","546229250","58060661","119.82","2097","6.41","173.79999999999995","53","0.0","100","53","28","182","65.5","50.0","18.5","16.5","0.0","0","0","351.56250549316417|198.2812530981446","56.25000087890626|115.31250180175785","355.7812555590821|201.0937531420899","46.40625072509767|108.28125169189455","100",,,
"1074767605","546229088","58059780","125.76","2097","6.41","174.0","107","0.0","99","53","28","166","59.0","61.5","18.0","18.0","0.0","0","0","354.3750055371095|194.0625030322266","60.46875094482424|120.93750188964847","355.7812555590821|201.0937531420899","46.40625072509767|108.28125169189455","99",,,
"1074767606","546228949","58058899","131.64","2311","6.41","174.0","107","0.0","102","52","28","178","74.5","44.0","20.5","13.0","0.0","0","0","0.0|357.1875055810548","0.0|357.1875055810548","354.3750055371095|199.68750312011724","40.781250637207044|102.65625160400393","102",,,
"1074767607","546228834","58058016","137.48","2466","6.177","174.20000000000005","155","0.0","103","52","28","178","74.5","44.0","20.5","13.0","0.0","0","0","0.0|357.1875055810548","0.0|357.1875055810548","354.3750055371095|199.68750312011724","40.781250637207044|102.65625160400393","103",,,
"1074767608","546228763","58057132","143.28","2642","6.177","174.39999999999998","176","0.0","104","52","28","174","80.5","82.5","22.5","24.0","0.0","0","0","0.0|357.1875055810548","0.0|357.1875055810548","354.3750055371095|199.68750312011724","40.781250637207044|102.65625160400393","104",,,
"1074767609","546228725","58056202","149.35","2787","6.14","174.39999999999998","145","0.0","104","53","28","176","83.5","82.5","22.5","24.0","0.0","0","0","355.7812555590821|191.2500029882813","61.87500096679689|119.5312518676758","354.3750055371095|199.68750312011724","40.781250637207044|102.65625160400393","104",,,
"1074767610","546228820","58055295","155.25","2954","6.093","174.39999999999998","167","0.0","106","54","27","176","78.0","81.5","25.5","25.0","0.0","0","0","355.7812555590821|191.2500029882813","61.87500096679689|119.5312518676758","354.3750055371095|199.68750312011724","40.781250637207044|102.65625160400393","106",,,
"1074767611","546228999","58054326","161.76","3140","6.093","174.39999999999998","186","0.0","107","56","27","173","87.0","88.5","26.5","27.0","0.0","0","0","352.9687555151368|195.46875305419925","49.218750769042984|111.09375173583987","347.3437554272462|201.0937531420899","40.781250637207044|104.0625016259766","107",,,
"1074767612","546229092","58053331","168.3","3308","6.093","174.39999999999998","168","0.0","107","56","27","176","85.0","86.0","24.0","26.5","0.0","0","0","351.56250549316417|198.2812530981446","47.812500747070324|108.28125169189455","347.3437554272462|201.0937531420899","40.781250637207044|104.0625016259766","107",,,
"1074767613","546229139","58052340","174.77","3466","6.093","174.39999999999998","158","0.0","108","54","27","171","92.5","87.0","26.5","27.5","0.0","0","0","348.75000544921886|198.2812530981446","47.812500747070324|106.8750016699219","347.3437554272462|201.0937531420899","40.781250637207044|104.0625016259766","108",,,
"1074767614","546229123","58051315","181.43","3574","6.093","174.39999999999998","108","0.0","109","60","27","171","92.5","87.0","26.5","27.5","0.0","0","0","347.3437554272462|196.87500307617194","49.218750769042984|105.46875164794925","350.1562554711915|208.1250032519532","50.62500079101564|113.90625177978518","109",,,
"1074767615","546229079","58050282","188.17","3747","6.242","174.39999999999998","173","0.0","109","65","27","159","87.5","84.0","25.0","25.5","0.0","0","0","347.3437554272462|196.87500307617194","49.218750769042984|105.46875164794925","348.75000544921886|206.7187532299805","53.43750083496095|115.31250180175785","109",,,
"1074767616","546228998","58049260","194.88","3913","6.382","174.20000000000005","166","0.0","110","66","27","177","89.0","84.0","25.0","25.5","0.0","0","0","350.1562554711915|201.0937531420899","50.62500079101564|108.28125169189455","347.3437554272462|215.15625336181645","57.65625090087892|120.93750188964847","110",,,
"1074767617","546228902","58048209","201.79","4028","6.401","174.20000000000005","115","0.0","111","66","27","178","91.0","92.0","26.5","29.0","0.0","0","0","348.75000544921886|205.31250320800785","56.25000087890626|115.31250180175785","347.3437554272462|215.15625336181645","57.65625090087892|120.93750188964847","111",,,
"1074767618","546228772","58047173","208.65","4103","6.625","174.20000000000005","75","0.0","111","66","27","171","78.0","93.5","23.0","27.5","0.0","0","0","348.75000544921886|205.31250320800785","56.25000087890626|115.31250180175785","338.90625529541023|217.96875340576176","54.84375085693361|116.7187518237305","111",,,
"1074767619","546228587","58046139","215.59","4163","6.699","174.20000000000005","60","0.0","112","66","27","180","58.0","73.5","15.5","22.5","0.0","0","0","352.9687555151368|203.9062531860352","63.28125098876955|120.93750188964847","338.90625529541023|215.15625336181645","54.84375085693361|115.31250180175785","112",,,
"1074767620","546228425","58045122","222.39","4193","6.774","174.20000000000005","30","0.0","112","65","27","181","58.0","73.5","15.5","22.5","0.0","0","0","357.1875055810548|201.0937531420899","68.90625107666017|125.15625195556643","348.75000544921886|212.34375331787115","57.65625090087892|118.12500184570315","112",,,
"1074767621","546228225","58044146","229.01","4229","6.774","174.20000000000005","36","0.0","112","62","27","181","32.5","58.0","8.5","17.5","0.0","0","0","2.812500043945313|195.46875305419925","71.71875112060549|126.5625019775391","4.21875006591797|206.7187532299805","64.68750101074221|125.15625195556643","112",,,
"1074767622","546227936","58043274","235.25","4334","6.774","174.20000000000005","105","0.0","112","61","27","181","41.0","58.0","11.0","17.5","0.0","0","0","4.21875006591797|194.0625030322266","70.31250109863284|125.15625195556643","7.031250109863283|203.9062531860352","67.50000105468752|127.96875199951175","112",,,
"1074767623","546227516","58042495","241.63","4464","6.774","174.20000000000005","130","0.0","112","63","27","159","79.0","39.0","22.5","11.5","0.0","0","0","4.21875006591797|194.0625030322266","70.31250109863284|125.15625195556643","7.031250109863283|203.9062531860352","67.50000105468752|127.96875199951175","112",,,
"1074767624","546227096","58041775","247.74","4703","6.774","174.0","239","0.0","112","66","27","170","74.0","39.0","21.0","11.5","0.0","0","0","4.21875006591797|194.0625030322266","70.31250109863284|125.15625195556643","7.031250109863283|202.50000316406255","66.09375103271486|127.96875199951175","112",,,
"1074767625","546226599","58041058","254.26","4960","6.802","174.0","257","0.0","112","70","27","177","92.0","84.0","27.5","24.0","0.0","0","0","4.21875006591797|198.2812530981446","68.90625107666017|123.75000193359378","7.031250109863283|202.50000316406255","66.09375103271486|127.96875199951175","112",,,
"1074767626","546225960","58040525","261.11","5226","6.858","173.79999999999995","266","0.0","112","74","27","179","90.5","89.5","29.5","28.0","0.0","0","0","0.0|210.9375032958985","60.46875094482424|119.5312518676758","2.812500043945313|203.9062531860352","61.87500096679689|125.15625195556643","112",,,
"1074767627","546225163","58040235","268.76","5226","7.409","173.39999999999998","242","0.0","112","74","27","179","96.0","93.0","29.5","31.0","0.0","0","0","354.3750055371095|215.15625336181645","54.84375085693361|116.7187518237305","350.1562554711915|215.15625336181645","53.43750083496095|118.12500184570315","112",,,
"1074767628","546224280","58040079","277.04","5710","8.146","173.20000000000005","242","0.0","112","78","27","193","70.5","97.5","19.0","33.0","0.0","0","0","343.1250053613282|216.5625033837891","52.0312508129883|115.31250180175785","341.71875533935554|237.65625371337896","50.62500079101564|116.7187518237305","112",,,
"1074767629","546223376","58040025","285.46","5775","8.202","172.79999999999995","65","0.0","112","74","26","193","70.5","97.5","19.0","33.0","0.0","0","0","340.3125053173829|212.34375331787115","54.84375085693361|116.7187518237305","334.6875052294923|236.2500036914063","52.0312508129883|118.12500184570315","112",,,
"1074767630","546222507","58040068","293.55","5888","8.202","172.20000000000005","113","0.0","112","72","26","160","66.0","97.5","19.5","33.0","0.0","0","0","345.9375054052735|199.68750312011724","60.46875094482424|119.5312518676758","334.6875052294923|236.2500036914063","52.0312508129883|118.12500184570315","112",,,
"1074767631","546221649","58040072","301.55","6003","7.931","172.0","115","0.0","112","71","26","179","72.5","47.5","21.0","15.0","0.0","0","0","345.9375054052735|199.68750312011724","60.46875094482424|119.5312518676758","343.1250053613282|213.7500033398438","59.06250092285158|120.93750188964847","112",,,
"1074767632","546220772","58040043","309.72","6156","7.81","171.79999999999995","153","0.0","112","67","26","180","77.0","77.5","22.0","22.5","0.0","0","0","348.75000544921886|198.2812530981446","61.87500096679689|119.5312518676758","350.1562554711915|206.7187532299805","59.06250092285158|118.12500184570315","112",,,
"1074767633","546219889","58040008","317.94","6274","7.931","171.79999999999995","118","0.0","112","73","26","165","81.5","85.0","25.5","25.5","0.0","0","0","350.1562554711915|199.68750312011724","61.87500096679689|118.12500184570315","350.1562554711915|206.7187532299805","59.06250092285158|118.12500184570315","112",,,
"1074767634","546219013","58039975","326.11","6458","8.034","171.60000000000002","184","0.0","113","77","26","175","82.5","86.5","23.5","25.0","0.0","0","0","351.56250549316417|202.50000316406255","60.46875094482424|119.5312518676758","347.3437554272462|203.9062531860352","52.0312508129883|112.50000175781253","113",,,
"1074767635","546218131","58039896","334.34","6632","8.034","171.60000000000002","174","0.0","115","77","26","175","88.0","78.0","27.5","23.0","0.0","0","0","351.56250549316417|205.31250320800785","60.46875094482424|119.5312518676758","348.75000544921886|208.1250032519532","59.06250092285158|119.5312518676758","115",,,
"1074767636","546217249","58039802","342.57","6966","8.052","172.0","334","0.0","116","78","26","175","88.0","78.0","27.5","23.0","0.0","0","0","354.3750055371095|216.5625033837891","63.28125098876955|125.15625195556643","348.75000544921886|208.1250032519532","59.06250092285158|119.5312518676758","116",,,
"1074767637","546216364","58039756","350.82","7361","8.071","173.60000000000002","395","0.0","117","79","26","175","95.0","95.5","36.0","29.5","0.0","0","0","352.9687555151368|227.81250355957036","61.87500096679689|126.5625019775391","347.3437554272462|240.46875375732427","61.87500096679689|123.75000193359378","117",,,
"1074767638","546215463","58039704","359.22","7724","8.071","174.39999999999998","363","0.0","118","80","26","180","94.5","95.5","32.0","29.5","0.0","0","0","348.75000544921886|241.87500377929695","60.46875094482424|127.96875199951175","347.3437554272462|240.46875375732427","61.87500096679689|123.75000193359378","118",,,
"1074767639","546214549","58039652","367.74","8049","8.071","174.79999999999995","325","0.0","119","81","26","182","93.0","98.0","33.5","33.5","0.0","0","0","348.75000544921886|241.87500377929695","60.46875094482424|127.96875199951175","347.3437554272462|240.46875375732427","61.87500096679689|123.75000193359378","119",,,
"1074767640","546213643","58039629","376.19","8333","8.071","175.0","284","0.0","119","81","26","180","89.5","91.5","33.0","30.0","0.0","0","0","340.3125053173829|229.218753581543","50.62500079101564|118.12500184570315","341.71875533935554|240.46875375732427","54.84375085693361|118.12500184570315","119",,,
"1074767641","546212748","58039610","384.51","8631","8.071","175.20000000000005","298","0.0","119","81","26","180","88.0","91.5","30.0","30.0","0.0","0","0","341.71875533935554|226.4062535375977","52.0312508129883|118.12500184570315","341.71875533935554|226.4062535375977","53.43750083496095|116.7187518237305","119",,,
"1074767642","546211857","58039583","392.82","8916","8.08","175.20000000000005","285","0.0","119","80","26","178","90.0","90.0","27.0","29.0","0.0","0","0","348.75000544921886|226.4062535375977","60.46875094482424|123.75000193359378","341.71875533935554|226.4062535375977","53.43750083496095|116.7187518237305","119",,,
"1074767643","546210926","58039541","401.49","9153","8.22","173.60000000000002","237","0.0","119","81","26","178","88.5","90.0","27.0","29.0","0.0","0","0","347.3437554272462|220.7812534497071","57.65625090087892|120.93750188964847","344.53125538330085|219.37500342773444","59.06250092285158|120.93750188964847","119",,,
"1074767644","546210021","58039468","409.94","9372","8.388","172.79999999999995","219","0.0","118","81","26","180","88.5","90.0","27.0","29.0","0.0","0","0","344.53125538330085|208.1250032519532","56.25000087890626|118.12500184570315","344.53125538330085|219.37500342773444","59.06250092285158|120.93750188964847","118",,,
"1074767645","546209091","58039412","418.61","9614","8.398","172.20000000000005","242","0.0","118","82","26","177","88.5","86.5","26.5","27.0","0.0","0","0","344.53125538330085|205.31250320800785","59.06250092285158|119.5312518676758","340.3125053173829|209.53125327392584","56.25000087890626|119.5312518676758","118",,,
"1074767646","546208164","58039371","427.24","9853","8.426","172.0","239","0.0","120","82","26","176","90.5","89.0","29.0","26.5","0.0","0","0","344.53125538330085|206.7187532299805","64.68750101074221|123.75000193359378","340.3125053173829|209.53125327392584","56.25000087890626|119.5312518676758","120",,,
"1074767647","546207254","58039323","435.73","10013","8.426","171.79999999999995","160","0.0","121","82","26","188","78.0","93.0","22.5","28.5","0.0","0","0","343.1250053613282|203.9062531860352","64.68750101074221|123.75000193359378","340.3125053173829|209.53125327392584","56.25000087890626|119.5312518676758","121",,,
"1074767648","546206357","58039301","444.09","10013","8.426","171.79999999999995","66","0.0","123","82","25","186","73.0","93.0","20.5","28.5","0.0","0","0","343.1250053613282|203.9062531860352","64.68750101074221|123.75000193359378","336.0937552514649|208.1250032519532","53.43750083496095|115.31250180175785","123",,,
"1074767649","546205465","58039297","452.4","10013","8.426","171.79999999999995","66","0.0","125","82","25","186","73.0","93.0","20.5","28.5","0.0","0","0","343.1250053613282|203.9062531860352","64.68750101074221|123.75000193359378","336.0937552514649|205.31250320800785","56.25000087890626|116.7187518237305","125",,,
"1074767650","546204618","58039291","460.29","10211","8.006","172.0","66","0.0","126","36","25","186","77.0","73.5","25.5","20.5","0.0","0","0","343.1250053613282|203.9062531860352","64.68750101074221|123.75000193359378","336.0937552514649|205.31250320800785","56.25000087890626|116.7187518237305","126",,,
"1074767651","546203892","58039262","467.05","10217","7.007","172.20000000000005","6","0.0","127","33","25","220","77.0","73.5","25.5","20.5","0.0","0","0","343.1250053613282|203.9062531860352","64.68750101074221|123.75000193359378","336.0937552514649|205.31250320800785","56.25000087890626|116.7187518237305","127",,,
"1074767652","546203318","58039232","472.4","10217","5.85","172.39999999999998","37","0.0","127","74","25","128","77.0","73.5","25.5","20.5","0.0","0","0","343.1250053613282|203.9062531860352","64.68750101074221|123.75000193359378","336.0937552514649|205.31250320800785","56.25000087890626|116.7187518237305","127",,,
"1074767653","546202802","58039185","477.13","10292","5.001","173.0","38","0.0","129","70","25","128","62.0","73.5","13.5","0.0","0.0","0","0","1.4062500219726566|206.7187532299805","77.34375120849612|136.40625213134769","336.0937552514649|205.31250320800785","56.25000087890626|116.7187518237305","129",,,
"1074767654","546202310","58039080","481.76","10492","5.001","173.39999999999998","200","0.0","129","72","25","128","79.5","73.5","18.5","0.0","0.0","0","0","1.4062500219726566|206.7187532299805","77.34375120849612|136.40625213134769","336.0937552514649|205.31250320800785","56.25000087890626|116.7187518237305","129",,,
"1074767655","546201758","58038978","486.94","10727","5.011","173.60000000000002","235","0.0","130","76","25","167","81.0","73.5","22.0","0.0","0.0","0","0","1.4062500219726566|206.7187532299805","77.34375120849612|136.40625213134769","0.0|357.1875055810548","0.0|357.1875055810548","130",,,
"1074767656","546201171","58038895","492.41","10925","5.225","173.79999999999995","198","0.0","131","79","25","198","83.0","92.0","14.0","28.0","0.0","0","0","1.4062500219726566|202.50000316406255","67.50000105468752|126.5625019775391","5.625000087890626|192.65625301025395","68.90625107666017|129.37500202148442","131",,,
"1074767657","546200563","58038868","498.08","11154","5.589","174.0","229","0.0","132","71","25","173","94.0","92.0","27.5","28.0","0.0","0","0","352.9687555151368|206.7187532299805","63.28125098876955|123.75000193359378","2.812500043945313|201.0937531420899","68.90625107666017|130.78125204345707","132",,,
"1074767658","546199914","58038840","504.13","11443","5.804","174.0","289","0.0","132","68","25","173","94.0","92.0","27.5","28.0","0.0","0","0","350.1562554711915|215.15625336181645","67.50000105468752|132.18750206542973","357.1875055810548|213.7500033398438","66.09375103271486|127.96875199951175","132",,,
"1074767659","546199238","58038841","510.43","11725","5.804","174.0","282","0.0","131","72","25","173","95.5","86.5","28.5","24.5","0.0","0","0","350.1562554711915|226.4062535375977","63.28125098876955|126.5625019775391","347.3437554272462|239.0625037353516","50.62500079101564|113.90625177978518","131",,,
"1074767660","546198538","58038808","516.95","12007","5.804","174.0","282","0.0","130","75","25","180","94.0","96.5","31.5","32.0","0.0","0","0","343.1250053613282|220.7812534497071","52.0312508129883|115.31250180175785","347.3437554272462|239.0625037353516","50.62500079101564|113.90625177978518","130",,,
"1074767661","546197820","58038740","523.66","12293","6.531","174.0","286","0.0","130","78","25","179","92.0","95.0","29.0","32.5","0.0","0","0","336.0937552514649|212.34375331787115","43.59375068115236|106.8750016699219","347.3437554272462|239.0625037353516","50.62500079101564|113.90625177978518","130",,,
"1074767662","546197080","58038678","530.57","12558","6.681","174.0","265","0.0","132","81","25","182","91.0","93.5","28.5","32.0","0.0","0","0","336.0937552514649|212.34375331787115","43.59375068115236|106.8750016699219","338.90625529541023|226.4062535375977","45.00000070312501|108.28125169189455","132",,,
"1074767663","546196327","58038624","537.58","12780","7.091","173.79999999999995","222","0.0","133","82","25","183","85.0","93.0","25.5","29.5","0.0","0","0","338.90625529541023|215.15625336181645","52.0312508129883|113.90625177978518","340.3125053173829|223.5937534936524","52.0312508129883|115.31250180175785","133",,,
"1074767664","546195583","58038565","544.53","12984","7.091","173.79999999999995","204","0.0","134","82","25","182","82.5","92.0","25.0","29.0","0.0","0","0","341.71875533935554|215.15625336181645","59.06250092285158|120.93750188964847","340.3125053173829|222.18750347167975","54.84375085693361|116.7187518237305","134",,,
"1074767665","546194825","58038505","551.6","13198","7.035","173.79999999999995","214","0.0","134","82","25","176","89.0","88.0","25.0","27.5","0.0","0","0","344.53125538330085|208.1250032519532","61.87500096679689|120.93750188964847","334.6875052294923|209.53125327392584","54.84375085693361|115.31250180175785","134",,,
"1074767666","546194084","58038467","558.5","13402","6.681","174.0","204","0.0","135","81","24","176","95.0","85.5","28.0","25.5","0.0","0","0","347.3437554272462|206.7187532299805","63.28125098876955|120.93750188964847","327.656255119629|201.0937531420899","52.0312508129883|112.50000175781253","135",,,
"1074767667","546193335","58038383","565.51","13592","6.821","174.0","190","0.0","136","81","24","178","95.0","85.5","28.0","25.5","0.0","0","0","348.75000544921886|206.7187532299805","68.90625107666017|127.96875199951175","333.2812552075196|198.2812530981446","60.46875094482424|118.12500184570315","136",,,
"1074767668","546192569","58038321","572.65","13790","6.961","174.0","198","0.0","136","82","24","180","96.0","85.5","29.5","25.5","0.0","0","0","324.8437550756837|212.34375331787115","67.50000105468752|129.37500202148442","333.2812552075196|198.2812530981446","60.46875094482424|118.12500184570315","136",,,
"1074767669","546191812","58038259","579.71","13992","6.961","174.0","202","0.0","136","82","24","178","97.0","97.0","27.5","29.0","0.0","0","0","324.8437550756837|212.34375331787115","67.50000105468752|129.37500202148442","330.4687551635743|213.7500033398438","61.87500096679689|120.93750188964847","136",,,
"1074767670","546191059","58038190","586.74","14179","6.97","174.20000000000005","187","0.0","137","82","24","178","87.0","92.5","26.5","28.5","0.0","0","0","315.0000049218751|213.7500033398438","64.68750101074221|129.37500202148442","322.03125503173834|223.5937534936524","60.46875094482424|120.93750188964847","137",,,
"1074767671","546190290","58038108","593.92","14388","6.989","174.20000000000005","209","0.0","137","82","24","173","90.0","86.5","26.0","26.0","0.0","0","0","315.0000049218751|213.7500033398438","64.68750101074221|129.37500202148442","317.8125049658204|227.81250355957036","59.06250092285158|120.93750188964847","137",,,
"1074767672","546189526","58038021","601.07","14606","7.007","174.20000000000005","218","0.0","138","81","24","175","90.5","86.5","27.5","26.0","0.0","0","0","324.8437550756837|202.50000316406255","61.87500096679689|122.34375191162113","320.6250050097657|223.5937534936524","60.46875094482424|120.93750188964847","138",,,
"1074767673","546188778","58037940","608.05","14841","6.989","174.39999999999998","235","0.0","138","81","24","174","93.0","89.5","27.0","25.5","0.0","0","0","324.8437550756837|202.50000316406255","61.87500096679689|122.34375191162113","329.06250514160166|215.15625336181645","61.87500096679689|118.12500184570315","138",,,
